=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.11.10 12:30:16 =~=~=~=~=~=~=~=~=~=~=~=
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0    150, 1387, 1371,   16,    0,   0.0115,  9.2467, 11.1586, -0.7362,  0.0274,  0.1159,
Q0    151, 1397, 1381,   16,    0,   0.0115,  9.2517, 11.1745, -0.7381,  0.0280,  0.1174,
Q0    152, 1408, 1391,   16,    1,   0.0114,  9.2632, 11.1767, -0.7402,  0.0292,  0.1177,
Q0    153, 1417, 1399,   16,    2,   0.0113,  9.2614, 11.1857, -0.7418,  0.0290,  0.1186,
Q0    154, 1428, 1412,   16,    0,   0.0112,  9.2727, 11.2045, -0.7438,  0.0303,  0.1204,
Q0    155, 1436, 1418,   16,    2,   0.0111,  9.2645, 11.1740, -0.7452,  0.0294,  0.1174,
Q0    156, 1443, 1423,   16,    4,   0.0111,  9.2500, 11.1407, -0.7465,  0.0278,  0.1141,
Q0    157, 1460, 1437,   17,    6,   0.0116,  9.2994, 11.1642, -0.7337,  0.0333,  0.1164,
Q0    158, 1472, 1447,   17,    8,   0.0115,  9.3165, 11.1404, -0.7359,  0.0352,  0.1140,
Q0    159, 1482, 1456,   17,    9,   0.0115,  9.3208, 11.1277, -0.7377,  0.0356,  0.1128,
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0    160, 1494, 1466,   19,    9,   0.0127,  9.3375, 11.1229, -0.7092,  0.0375,  0.1123,
Q0    161, 1497, 1471,   19,    7,   0.0127,  9.2981, 11.0784, -0.7098,  0.0331,  0.1078,
Q0    162, 1512, 1484,   24,    4,   0.0159,  9.3333, 11.0663, -0.6370,  0.0370,  0.1066,
Q0    163, 1531, 1489,   32,   10,   0.0209,  9.3926, 11.0510, -0.5221,  0.0436,  0.1051,
Q0    164, 1540, 1498,   32,   10,   0.0208,  9.3902, 11.0286, -0.5249,  0.0434,  0.1029,
Q0    165, 1544, 1509,   32,    3,   0.0207,  9.3576, 11.0056, -0.5261,  0.0397,  0.1006,
Q0    166, 1553, 1517,   32,    4,   0.0206,  9.3554, 10.9998, -0.5288,  0.0395,  0.1000,
Q0    167, 1564, 1528,   32,    4,   0.0205,  9.3653, 10.9996, -0.5321,  0.0406,  0.1000,
Q0    168, 1572, 1539,   32,    1,   0.0204,  9.3571, 10.9831, -0.5345,  0.0397,  0.0983,
Q0    169, 1585, 1546,   32,    7,   0.0202,  9.3787, 10.9722, -0.5383,  0.0421,  0.0972,
Q0    170, 1595, 1560,   32,    3,   0.0201,  9.3824, 10.9997, -0.5412,  0.0425,  0.1000,
Q0    171, 1604, 1572,   32,    0,   0.0200,  9.3801, 11.0264, -0.5438,  0.0422,  0.1026,
Q0    172, 1618, 1581,   32,    5,   0.0198,  9.4070, 11.0034, -0.5478,  0.0452,  0.1003,
Q0    173, 1621, 1587,   32,    2,   0.0197,  9.3699, 10.9882, -0.5486,  0.0411,  0.0988,
Q0    174, 1630, 1598,   32,    0,   0.0196,  9.3678, 11.0132, -0.5511,  0.0409,  0.1013,
Q0    175, 1639, 1604,   32,    3,   0.0195,  9.3657, 10.9990, -0.5536,  0.0406,  0.0999,
Q0    176, 1645, 1613,   32,    0,   0.0195,  9.3466, 10.9904, -0.5552,  0.0385,  0.0990,
Q0    177, 1657, 1625,   32,    0,   0.0193,  9.3616, 11.0043, -0.5584,  0.0402,  0.1004,
Q0    178, 1667, 1634,   32,    1,   0.0192,  9.3652, 11.0005, -0.5611,  0.0406,  0.1001,
Q0    179, 1674, 1640,   32,    2,   0.0191,  9.3520, 10.9675, -0.5629,  0.0391,  0.0968,
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0    180, 1683, 1650,   32,    1,   0.0190,  9.3500, 10.9737, -0.5652,  0.0389,  0.0974,
Q0    181, 1698, 1663,   32,    3,   0.0188,  9.3812, 10.9936, -0.5691,  0.0424,  0.0994,
Q0    182, 1706, 1674,   32,    0,   0.0188,  9.3736, 11.0156, -0.5711,  0.0415,  0.1016,
Q0    183, 1721, 1685,   32,    4,   0.0186,  9.4044, 11.0334, -0.5748,  0.0449,  0.1033,
Q0    184, 1732, 1692,   32,    8,   0.0185,  9.4130, 10.9799, -0.5775,  0.0459,  0.0980,
Q0    185, 1743, 1696,   37,   10,   0.0212,  9.4216, 10.9580, -0.5146,  0.0468,  0.0958,
Q0    186, 1753, 1707,   39,    7,   0.0222,  9.4247, 10.9581, -0.4913,  0.0472,  0.0958,
Q0    187, 1763, 1717,   39,    7,   0.0221,  9.4278, 10.9357, -0.4942,  0.0475,  0.0936,
Q0    188, 1774, 1724,   40,   10,   0.0225,  9.4362, 10.9216, -0.4844,  0.0485,  0.0922,
Q0    189, 1781, 1733,   42,    6,   0.0236,  9.4233, 10.9121, -0.4608,  0.0470,  0.0912,
Q0    190, 1785, 1743,   42,    0,   0.0235,  9.3947, 10.9176, -0.4620,  0.0439,  0.0918,
Q0    191, 1796, 1752,   42,    2,   0.0234,  9.4031, 10.9230, -0.4653,  0.0448,  0.0923,
Q0    192, 1807, 1760,   42,    5,   0.0232,  9.4115, 10.9058, -0.4685,  0.0457,  0.0906,
Q0    193, 1817, 1772,   42,    3,   0.0231,  9.4145, 10.9024, -0.4714,  0.0461,  0.0902,
Q0    194, 1829, 1784,   42,    3,   0.0230,  9.4278, 10.9240, -0.4749,  0.0475,  0.0924,
Q0    195, 1838, 1795,   42,    1,   0.0229,  9.4256, 10.9208, -0.4775,  0.0473,  0.0921,
Q0    196, 1845, 1803,   42,    0,   0.0228,  9.4133, 10.9103, -0.4795,  0.0459,  0.0910,
Q0    197, 1852, 1809,   42,    1,   0.0227,  9.4010, 10.9097, -0.4814,  0.0446,  0.0910,
Q0    198, 1861, 1815,   42,    4,   0.0226,  9.3990, 10.8783, -0.4839,  0.0443,  0.0878,
Q0    199, 1872, 1825,   42,    5,   0.0224,  9.4070, 10.8649, -0.4870,  0.0452,  0.0865,
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0    200, 1876, 1834,   42,    0,   0.0224,  9.3800, 10.8749, -0.4881,  0.0422,  0.0875,
Q0    201, 1883, 1840,   42,    1,   0.0223,  9.3682, 10.8586, -0.4900,  0.0409,  0.0859,
Q0    202, 1893, 1849,   42,    2,   0.0222,  9.3713, 10.8708, -0.4927,  0.0413,  0.0871,
Q0    203, 1897, 1855,   42,    0,   0.0221,  9.3448, 10.8752, -0.4937,  0.0383,  0.0875,
Q0    204, 1912, 1865,   42,    5,   0.0220,  9.3725, 10.8654, -0.4977,  0.0414,  0.0865,
Q0    205, 1922, 1876,   42,    4,   0.0219,  9.3756, 10.8703, -0.5003,  0.0417,  0.0870,
Q0    206, 1928, 1885,   42,    1,   0.0218,  9.3592, 10.8537, -0.5019,  0.0399,  0.0854,
Q0    207, 1936, 1893,   42,    1,   0.0217,  9.3527, 10.8351, -0.5039,  0.0392,  0.0835,
Q0    208, 1942, 1898,   42,    2,   0.0216,  9.3365, 10.8340, -0.5055,  0.0374,  0.0834,
Q0    209, 1946, 1904,   42,    0,   0.0216,  9.3110, 10.8365, -0.5065,  0.0346,  0.0837,
Q0    210, 1958, 1915,   42,    1,   0.0215,  9.3238, 10.8665, -0.5095,  0.0360,  0.0867,
Q0    211, 1966, 1924,   42,    0,   0.0214,  9.3175, 10.8718, -0.5115,  0.0353,  0.0872,
Q0    212, 1974, 1932,   42,    0,   0.0213,  9.3113, 10.8778, -0.5135,  0.0346,  0.0878,
Q0    213, 1985, 1936,   42,    7,   0.0212,  9.3192, 10.8633, -0.5162,  0.0355,  0.0863,
Q0    214, 1996, 1946,   42,    8,   0.0210,  9.3271, 10.8414, -0.5188,  0.0363,  0.0841,
Q0    215, 2005, 1958,   44,    3,   0.0219,  9.3256, 10.8636, -0.4982,  0.0362,  0.0864,
Q0    216, 2013, 1965,   44,    4,   0.0219,  9.3194, 10.8292, -0.5002,  0.0355,  0.0829,
Q0    217, 2023, 1969,   44,   10,   0.0217,  9.3226, 10.7810, -0.5027,  0.0358,  0.0781,
Q0    218, 2032, 1975,   48,    9,   0.0236,  9.3211, 10.7790, -0.4598,  0.0357,  0.0779,
Q0    219, 2045, 1991,   48,    6,   0.0235,  9.3379, 10.7994, -0.4633,  0.0375,  0.0799,
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0    220, 2050, 2002,   48,    0,   0.0234,  9.3227, 10.8027, -0.4649,  0.0359,  0.0803,
Q0    221, 2060, 2010,   48,    2,   0.0233,  9.3213, 10.8025, -0.4672,  0.0357,  0.0802,
Q0    222, 2068, 2016,   48,    4,   0.0232,  9.3153, 10.7742, -0.4693,  0.0350,  0.0774,
Q0    223, 2078, 2018,   50,   10,   0.0241,  9.3184, 10.7482, -0.4498,  0.0354,  0.0748,
Q0    224, 2092, 2023,   59,   10,   0.0282,  9.3393, 10.7124, -0.3551,  0.0377,  0.0712,
Q0    225, 2104, 2035,   60,    9,   0.0285,  9.3511, 10.7239, -0.3479,  0.0390,  0.0724,
Q0    226, 2110, 2050,   60,    0,   0.0284,  9.3363, 10.7507, -0.3498,  0.0374,  0.0751,
Q0    227, 2120, 2052,   60,    8,   0.0283,  9.3392, 10.7067, -0.3528,  0.0377,  0.0707,
Q0    228, 2128, 2060,   60,    8,   0.0282,  9.3333, 10.7035, -0.3553,  0.0370,  0.0703,
